nom,temps,date,difficulte

temo,0.432913,2024-02-19,moyen
entrer,0.595039,2024-02-19,difficle
ds,0.695295,2024-02-19,moyen
ds,2.279352,2024-02-19,moyen
da,0.670773,2024-02-19,difficle
da,0.271213,2024-02-19,difficle
da,0.487404,2024-02-19,difficle
da,0.775291,2024-02-19,difficle
da,3.405211,2024-02-19,facile
frank,0.985384,2024-02-19,moyen
frank,0.828465,2024-02-19,moyen
frank,0.584682,2024-02-19,facile
,0.951976,2024-02-19,facile
dddd,4.489732,2024-02-19,difficle
dddd,1.301176,2024-02-19,difficle
dddd,9.83494,2024-02-19,difficle
dddd,0.937599,2024-02-19,difficle
,0.731427,2024-02-19,moyen
dd,0.743051,2024-02-19,difficle
dd,8.30068,2024-02-19,difficle
dd,4.595724,2024-02-19,difficle
f,0.775032,2024-02-19,difficle
,1.138595,2024-02-19,moyen
d,0.284053,2024-02-19,moyen
d,0.63184,2024-02-19,moyen
s,0.563635,2024-02-19,difficle
s,0.568769,2024-02-19,difficle
ddd,4.639208,2024-02-19,moyen
s,0.92788,2024-02-19,moyen
xcc,1.125903,2024-02-19,moyen
DVASDV,0.458642,2024-02-19,moyen
DVASDV,0.806454,2024-02-19,moyen
ff,0.290076,2024-02-19,moyen
ff,0.464954,2024-02-19,moyen
,0.290628,2024-02-19,moyen
